題目,正確答案,答對回饋語,答錯回饋語,提示語
45 + 67 = ?,112,太強了！進位運算完全正確！,哎呀，個位數和十位數的進位要注意喔！,先算 5+7，再算 40+60，別忘了進位。
88 + 34 = ?,122,正確！你的心算能力很棒！,再試一次，別忘了進位的部分。,8+4 是多少？記得進位到十位數。
150 + 275 = ?,425,哇！三位數加法也難不倒你！,可惜，百位數加法再檢查一下。,個位、十位、百位分開加加看。
24 + 18 + 10 = ?,52,厲害！連加法都算對了！,不對喔，建議分兩步計算。,先把前兩個數字加起來，再加第三個。
99 + 99 = ?,198,答對了！非常接近200呢！,差一點點，再想一下。,可以把兩個都當成100，相加後再減2。
120 - 85 = ?,35,答對了！退位減法難不倒你！,差一點點，百位數的退位再檢查一下。,0 減 5 不夠，要向十位數借喔。
200 - 134 = ?,66,太棒了！連續退位也沒問題！,算錯囉，注意中間的 0 怎麼借位。,200 減 100，再減 30，再減 4。
72 - 48 = ?,24,正確！這題不容易喔！,再試一次，個位數 2 減 8 不夠減。,要從十位數借 1 過來變 12 減 8。
305 - 190 = ?,115,好厲害！跨百位的減法答對了！,可惜，百位數的計算有誤差。,300 減 100 是 200，再處理剩下的。
1000 - 1 = ?,999,反應真快！完全正確！,哎呀，再想一下最大的三位數。,1000 倒數一個數字是多少？
12 * 5 = ?,60,太棒了！兩位數乘法正確！,不對喔，再算算看。,相當於 5 個 12 加在一起。
25 * 4 = ?,100,正確！這個組合很常見喔！,再試一次，你可以用錢幣來想。,4 個 25 元硬幣是多少錢？
15 * 6 = ?,90,答對了！乘法運算很熟練！,差一點點，注意進位。,先算 5*6，再算 10*6，最後加起來。
11 * 11 = ?,121,厲害！平方數你都背起來了？,可惜，再算一次。,11 乘以 10 是 110，再加一個 11。
9 * 12 = ?,108,正確！九九乘法的延伸題！,不對喔，比 90 多一點。,可以想成 9 乘以 10 加上 9 乘以 2。
84 / 4 = ?,21,太棒了！整除運算正確！,再試一次，十位跟個位分開除。,80 除以 4 加上 4 除以 4。
125 / 5 = ?,25,正確！你對 25 的倍數很熟喔！,算錯囉，再分分看。,100 除以 5 是 20，那 25 除以 5 呢？
72 / 8 = ?,9,好棒！乘法表的逆運算！,可惜，再背一次九九乘法。,8 乘以多少會等於 72？
144 / 12 = ?,12,太神了！這題有點難度喔！,答案不對，這是個特別的數字。,12 的平方是多少？
360 / 6 = ?,60,答對了！大數字除法也沒問題！,再檢查一下 0 的數量喔。,先不看 0，36 除以 6 是多少？
